Time,S1_X,S1_Y,S1_Z
1731070378.72,11282.2651867,11282.1207826,0.0
1731070379.22,11282.1234622,11281.7436996,0.0
1731070379.72,11282.2220243,11282.5303753,0.0
1731070380.22,11282.2240192,11282.261968,0.0
1731070380.72,11282.1631838,11282.3981515,0.0
1731070381.22,11283.0398648,11282.7562363,0.0
1731070381.72,11282.9254323,11282.5440972,0.0
1731070382.22,11283.3096128,11282.6451108,0.0
1731070382.72,11282.773852,11283.2938794,0.0
1731070383.22,11283.0945896,11283.0247002,0.0
1731070383.72,11283.4448416,11283.4266866,0.0
1731070384.22,11283.5103478,11283.5364686,0.0
1731070384.72,11283.8718545,11283.7645548,0.0
1731070385.22,11283.5257407,11284.1998512,0.0
1731070385.73,11283.9978778,11283.7711796,0.0
1731070386.23,11284.3769679,11284.0468008,0.0
1731070386.73,11284.2042995,11284.6391565,0.0
1731070387.23,11284.4977706,11284.8440095,0.0
1731070387.73,11284.6280163,11284.4493064,0.0
